libellé métier,lien site onisep.fr,nom publication,collection,année,gencod,GFE,code ROME,libellé ROME,lien ROME
animateur / animatrice de radio et de télévision,http://www.onisep.fr/http/redirection/metier/identifiant/100477,"Les métiers du journalisme, de la communication et de la documentation",Parcours,2018,9782273013901,"U : Communication, médias",L1103,Présentation de spectacles ou d'émissions,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1103
secrétaire d'édition,http://www.onisep.fr/http/redirection/metier/identifiant/100481,Les métiers du livre,Parcours,2017,9782273013260,"U : Communication, médias",E1105,Coordination d'édition,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1105
correcteur / correctrice,http://www.onisep.fr/http/redirection/metier/identifiant/100512,Les métiers du livre,Parcours,2017,9782273013260,"U : Communication, médias",E1305,Préparation et correction en édition et presse,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1305
agent / agente de développement touristique,http://www.onisep.fr/http/redirection/metier/identifiant/100537,Les métiers du tourisme,Parcours,2015,9782273012355,"S : Hôtellerie, tourisme, loisirs",K1802,Développement local,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1802
conseiller / conseillère en voyages,http://www.onisep.fr/http/redirection/metier/identifiant/100509,Les métiers des langues et de l'international,Parcours,2017,9782273013277,"S : Hôtellerie, tourisme, loisirs",G1303,Vente de voyages,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1303
assistant / assistante dentaire,http://www.onisep.fr/http/redirection/metier/identifiant/100503,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1303,Assistance médico-technique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1303
gestionnaire de patrimoine,http://www.onisep.fr/http/redirection/metier/identifiant/100507,"Les métiers de la banque, de la finance et de l'assurance",Parcours,2016,9782273012829,"Q : Commerce, gestion, finances",C1205,Conseil en gestion de patrimoine financier,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1205
juriste en propriété intellectuelle,http://www.onisep.fr/http/redirection/metier/identifiant/100527,Les métiers du droit,Parcours,2016,9782273012843,"W : Droit, enseignement, recherche en sciences humaines",K1903,Défense et conseil juridique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1903
rédacteur / rédactrice on line,http://www.onisep.fr/http/redirection/metier/identifiant/100528,Les métiers du web,Parcours,2015,9782273012270,"U : Communication, médias",E1103,Communication,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1103
chirurgien / chirurgienne,http://www.onisep.fr/http/redirection/metier/identifiant/100521,Les métiers du médical,Parcours,2018,9782273013857,"R : Santé, social, soins personnels",J1102,Médecine généraliste et spécialisée,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1102
entraîneur / entraîneuse de chevaux,http://www.onisep.fr/http/redirection/metier/identifiant/100529,Les métiers auprès des animaux,Parcours,2015,9782273012287,A : Agriculture,L1401,Sportif professionnel,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1401
juge d'instruction,http://www.onisep.fr/http/redirection/metier/identifiant/100524,Les métiers du droit,Parcours,2016,9782273012843,"W : Droit, enseignement, recherche en sciences humaines",K1904,Magistrature,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1904
conducteur / conductrice de bus ou d'autocar,http://www.onisep.fr/http/redirection/metier/identifiant/100337,Les métiers du transport et de la logistique,Parcours,2016,9782273012836,"O : Transport, logistique",N4103,Conduite de transport en commun sur route,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N4103
chef de projet éolien,http://www.onisep.fr/http/redirection/metier/identifiant/100402,Les métiers de l'énergie,Parcours,2016,9782273012812,"H : Electricité, énergie, électronique",,,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=
ouvrier / ouvrière paysagiste,http://www.onisep.fr/http/redirection/metier/identifiant/100325,Les métiers du paysage,Zoom,2018,9782273014397,"T : Environnement, nettoyage, sécurité",A1203,Aménagement et entretien des espaces verts,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1203
domoticien / domoticienne,http://www.onisep.fr/http/redirection/metier/identifiant/100330,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,"H : Electricité, énergie, électronique",F1106,Ingénierie et études du BTP,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1106
ingénieur / ingénieure en énergie solaire,http://www.onisep.fr/http/redirection/metier/identifiant/100406,Les métiers de l'énergie,Parcours,2016,9782273012812,"H : Electricité, énergie, électronique",,,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=
opérateur / opératrice de raffinerie,http://www.onisep.fr/http/redirection/metier/identifiant/100411,,Fiches métiers / onisep.fr,,,"H : Electricité, énergie, électronique",H2701,Pilotage d'installation énergétique et pétrochimique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2701
moniteur / monitrice d'activités équestres,http://www.onisep.fr/http/redirection/metier/identifiant/100459,Les métiers du sport,Parcours,2017,9782273013321,"S : Hôtellerie, tourisme, loisirs",G1204,Éducation en activités sportives,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1204
inspecteur / inspectrice de banque,http://www.onisep.fr/http/redirection/metier/identifiant/100463,"Les métiers de la banque, de la finance et de l'assurance",Parcours,2016,9782273012829,"Q : Commerce, gestion, finances",,,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=
salesman,http://www.onisep.fr/http/redirection/metier/identifiant/100464,"Les métiers de la banque, de la finance et de l'assurance",Parcours,2016,9782273012829,"Q : Commerce, gestion, finances",C1301,Front office marchés financiers,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1301
conseiller / conseillère pénitentiaire d'insertion et de probation,http://www.onisep.fr/http/redirection/metier/identifiant/100469,Les métiers de la justice,Parcours,2015,9782273012348,"W : Droit, enseignement, recherche en sciences humaines",K1207,Intervention socioéducative,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1207
conseiller sportif / conseillère sportive en salle de remise en forme,http://www.onisep.fr/http/redirection/metier/identifiant/100457,Les métiers du sport,Parcours,2017,9782273013321,"S : Hôtellerie, tourisme, loisirs",G1204,Éducation en activités sportives,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1204
éducateur / éducatrice de la protection judiciaire de la jeunesse (PJJ),http://www.onisep.fr/http/redirection/metier/identifiant/100450,Les métiers de la justice,Parcours,2015,9782273012348,"R : Santé, social, soins personnels",K1207,Intervention socioéducative,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1207
médecin humanitaire,http://www.onisep.fr/http/redirection/metier/identifiant/100453,Les métiers du médical,Parcours,2018,9782273013857,"R : Santé, social, soins personnels",J1102,Médecine généraliste et spécialisée,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1102
chef de mission humanitaire,http://www.onisep.fr/http/redirection/metier/identifiant/100444,,Fiches métiers / onisep.fr,,,"R : Santé, social, soins personnels",N1301,Conception et organisation de la chaîne logistique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N1301
animateur / animatrice 2D et 3D,http://www.onisep.fr/http/redirection/metier/identifiant/100418,Les métiers du web,Parcours,2015,9782273012270,"U : Communication, médias",L1510,Film d'animation et effets spéciaux,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1510
ingénieur / ingénieure recherche et développement (R&amp;D) en agroéquipement,http://www.onisep.fr/http/redirection/metier/identifiant/100821,Les métiers de la mécanique,Parcours,2014,9782273012027,F : Mécanique,,,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=
gardien / gardienne de la paix,http://www.onisep.fr/http/redirection/metier/identifiant/10266,Les métiers de la défense et de la sécurité publique,Parcours,2016,9782273012362,"T : Environnement, nettoyage, sécurité",K1706,Sécurité publique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1706
maçon / maçonne,http://www.onisep.fr/http/redirection/metier/identifiant/10018,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,C : Bâtiment,F1703,Maçonnerie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1703
comédien / comédienne,http://www.onisep.fr/http/redirection/metier/identifiant/10171,Les métiers du cinéma,Parcours,2018,9782273013871,"V : Arts, spectacle, audiovisuel",L1203,Art dramatique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1203
designer industriel / designeuse industrielle,http://www.onisep.fr/http/redirection/metier/identifiant/10168,Les métiers du design,Parcours,2016,9782273012805,"V : Arts, spectacle, audiovisuel",H1204,Design industriel,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1204
maquettiste,http://www.onisep.fr/http/redirection/metier/identifiant/10166,Les métiers de l'information et de la communication,Parcours,2018,9782273013901,"U : Communication, médias",E1205,Réalisation de contenus multimédias,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205
magasinier / magasinière cariste,http://www.onisep.fr/http/redirection/metier/identifiant/10137,Les métiers du transport et de la logistique,Parcours,2016,9782273012836,"O : Transport, logistique",N1103,Magasinage et préparation de commandes,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N1103
logisticien / logisticienne,http://www.onisep.fr/http/redirection/metier/identifiant/10135,Les métiers du transport et de la logistique,Parcours,2016,9782273012836,"O : Transport, logistique",N1303,Intervention technique d'exploitation logistique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N1303
officier / officière de la marine marchande,http://www.onisep.fr/http/redirection/metier/identifiant/10133,Les métiers du transport et de la logistique,Parcours,2016,9782273012836,"O : Transport, logistique",N3101,Encadrement de la navigation maritime,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N3101
pilote de ligne,http://www.onisep.fr/http/redirection/metier/identifiant/10129,Les métiers de la défense et de la sécurité publique,Parcours,2016,9782273012362,"O : Transport, logistique",N2102,Pilotage et navigation technique aérienne,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N2102
paysagiste,http://www.onisep.fr/http/redirection/metier/identifiant/10126,"Les métiers de l'architecture, de l'urbanisme et du paysage",Parcours,2017,9782273013253,"T : Environnement, nettoyage, sécurité",A1303,Ingénierie en agriculture et environnement naturel,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1303
ingénieur forestier / ingénieure forestière,http://www.onisep.fr/http/redirection/metier/identifiant/10124,Les métiers de l'environnement et du développement durable,Parcours,2015,9782273012331,A : Agriculture,A1303,Ingénierie en agriculture et environnement naturel,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1303
ingénieur forestier / ingénieure forestière,http://www.onisep.fr/http/redirection/metier/identifiant/10124,Les métiers de l'agriculture et de la forêt,Parcours,2017,9782273013307,A : Agriculture,A1303,Ingénierie en agriculture et environnement naturel,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1303
professeur / professeure d'éducation physique et sportive (EPS),http://www.onisep.fr/http/redirection/metier/identifiant/10209,"Les métiers de l'enseignement, de l'éducation et de la formation",Parcours,2013,9782273011464,"W : Droit, enseignement, recherche en sciences humaines",K2107,Enseignement général du second degré,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2107
moniteur-éducateur / monitrice-éducatrice,http://www.onisep.fr/http/redirection/metier/identifiant/10250,Les métiers auprès des enfants,Parcours,2015,9782273012294,"R : Santé, social, soins personnels",K1207,Intervention socioéducative,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1207
accompagnant éducatif et social / accompagnante éducative et sociale,http://www.onisep.fr/http/redirection/metier/identifiant/10252,Les métiers du social,Parcours,2015,9782273012300,"R : Santé, social, soins personnels",K1301,Accompagnement médicosocial,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1301
esthéticien-cosméticien / esthéticienne-cosméticienne,http://www.onisep.fr/http/redirection/metier/identifiant/10245,,Fiches métiers / onisep.fr,,,"R : Santé, social, soins personnels",D1208,Soins esthétiques et corporels,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1208
orthoprothésiste,http://www.onisep.fr/http/redirection/metier/identifiant/10240,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1411,Prothèses et orthèses,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1411
designer graphique,http://www.onisep.fr/http/redirection/metier/identifiant/10164,Les métiers de l'information et de la communication,Parcours,2018,9782273013901,"N : Techniques graphiques, impression",E1205,Réalisation de contenus multimédias,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205
maître / maîtresse d'hôtel,http://www.onisep.fr/http/redirection/metier/identifiant/10157,Les métiers de l'hôtellerie et de la restauration,Parcours,2018,9782273013895,"S : Hôtellerie, tourisme, loisirs",G1802,Management du service en restauration,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1802
cuisinier / cuisinière,http://www.onisep.fr/http/redirection/metier/identifiant/10153,Les métiers du goût et des saveurs,Parcours,2018,9782273013888,K : Production alimentaire,G1602,Personnel de cuisine,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1602
professeur / professeure de lycée professionnel,http://www.onisep.fr/http/redirection/metier/identifiant/100297,"Les métiers de l'enseignement, de l'éducation et de la formation",Parcours,2013,9782273011464,"W : Droit, enseignement, recherche en sciences humaines",K2109,Enseignement technique et professionnel,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2109
enseignant-chercheur / enseignante-chercheuse,http://www.onisep.fr/http/redirection/metier/identifiant/10204,"Les métiers de l'enseignement, de l'éducation et de la formation",Parcours,2013,9782273011464,"W : Droit, enseignement, recherche en sciences humaines",K2108,Enseignement supérieur,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2108
professeur / professeure dans l'enseignement agricole,http://www.onisep.fr/http/redirection/metier/identifiant/10206,"Les métiers de l'enseignement, de l'éducation et de la formation",Parcours,2013,9782273011464,"W : Droit, enseignement, recherche en sciences humaines",K2109,Enseignement technique et professionnel,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2109
guichetier / guichetière,http://www.onisep.fr/http/redirection/metier/identifiant/10089,"Les métiers de la banque, de la finance et de l'assurance",Parcours,2016,9782273012829,"Q : Commerce, gestion, finances",C1201,Accueil et services bancaires,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1201
manipulateur / manipulatrice en électroradiologie médicale,http://www.onisep.fr/http/redirection/metier/identifiant/10234,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1306,Imagerie médicale,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1306
orthophoniste,http://www.onisep.fr/http/redirection/metier/identifiant/10232,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1406,Orthophonie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1406
inspecteur / inspectrice du permis de conduire et de la sécurité routière,http://www.onisep.fr/http/redirection/metier/identifiant/10119,,Fiches métiers / onisep.fr,,,"O : Transport, logistique",K2110,Formation en conduite de véhicules,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2110
conducteur / conductrice de train,http://www.onisep.fr/http/redirection/metier/identifiant/10117,Les métiers du transport et de la logistique,Parcours,2016,9782273012836,"O : Transport, logistique",N4301,Conduite sur rails,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N4301
concepteur / conceptrice multimédia,http://www.onisep.fr/http/redirection/metier/identifiant/10194,Les métiers du web,Parcours,2015,9782273012270,"U : Communication, médias",E1104,Conception de contenus multimédias,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104
hôte / hôtesse d'accueil,http://www.onisep.fr/http/redirection/metier/identifiant/10193,Les métiers du tourisme,Parcours,2015,9782273012355,"S : Hôtellerie, tourisme, loisirs",M1601,Accueil et renseignements,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1601
documentaliste,http://www.onisep.fr/http/redirection/metier/identifiant/10190,Les métiers de l'information et de la communication,Parcours,2018,9782273013901,"P : Gestion et traitement de l'information (informatique, statistique, documentation)",K1601,Gestion de l'information et de la documentation,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1601
conducteur opérateur / conductrice opératrice de scierie,http://www.onisep.fr/http/redirection/metier/identifiant/10401,,Fiches métiers / onisep.fr,,,M : Travail du bois,H2205,Première transformation de bois d'oeuvre,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2205
technicien / technicienne de maintenance industrielle,http://www.onisep.fr/http/redirection/metier/identifiant/100283,Les métiers de l'électronique et de la robotique,Parcours,2015,9782273012317,F : Mécanique,I1304,Installation et maintenance d'équipements industriels et d'exploitation,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1304
cordonnier / cordonnière,http://www.onisep.fr/http/redirection/metier/identifiant/10397,"Artisan, un métier pour demain",Dossiers,2014,9782273011952,"L : Textile, habillement, cuir",D1206,Réparation d'articles en cuir et matériaux souples,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1206
styliste,http://www.onisep.fr/http/redirection/metier/identifiant/10392,Les métiers de la mode et du luxe,Parcours,2014,9782273011860,"L : Textile, habillement, cuir",B1805,Stylisme,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1805
reporter-photographe / reportrice-photographe,http://www.onisep.fr/http/redirection/metier/identifiant/10199,Les métiers de l'information et de la communication,Parcours,2018,9782273013901,"U : Communication, médias",E1106,Journalisme et information média,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1106
visiteur médical / visiteuse médicale,http://www.onisep.fr/http/redirection/metier/identifiant/10237,Les métiers de l'industrie du médicament,Zoom,2017,9782273013642,"R : Santé, social, soins personnels",D1405,Conseil en information médicale,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1405
sommelier / sommelière,http://www.onisep.fr/http/redirection/metier/identifiant/10159,Les métiers de l'hôtellerie et de la restauration,Parcours,2018,9782273013895,"S : Hôtellerie, tourisme, loisirs",G1804,Sommellerie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1804
technicien / technicienne d'analyses biomédicales,http://www.onisep.fr/http/redirection/metier/identifiant/10235,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1302,Analyses médicales,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1302
technicien / technicienne d'analyses biomédicales,http://www.onisep.fr/http/redirection/metier/identifiant/10235,Les métiers de la biologie et des biotechnologies,Parcours,2016,9782273012775,"R : Santé, social, soins personnels",J1302,Analyses médicales,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1302
actuaire,http://www.onisep.fr/http/redirection/metier/identifiant/10084,Les métiers des mathématiques et de l'informatique,Zoom,2015,9782273012652,"Q : Commerce, gestion, finances",C1105,Études actuarielles en assurances,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1105
technicien / technicienne des industries du verre,http://www.onisep.fr/http/redirection/metier/identifiant/10330,,Fiches métiers / onisep.fr,,,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",H2805,Pilotage d'installation de production verrière,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2805
sociologue,http://www.onisep.fr/http/redirection/metier/identifiant/10296,,Fiches métiers / onisep.fr,,,"W : Droit, enseignement, recherche en sciences humaines",K2401,Recherche en sciences de l'homme et de la société,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2401
sportif / sportive de haut niveau,http://www.onisep.fr/http/redirection/metier/identifiant/10293,Les métiers du sport,Parcours,2017,9782273013321,"S : Hôtellerie, tourisme, loisirs",L1401,Sportif professionnel,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1401
météorologiste,http://www.onisep.fr/http/redirection/metier/identifiant/10286,Les métiers de l'environnement et du développement durable,Parcours,2015,9782273012331,"T : Environnement, nettoyage, sécurité",M1809,Information météorologique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1809
ébéniste,http://www.onisep.fr/http/redirection/metier/identifiant/10402,Les métiers de la forêt et du bois,Zoom,2017,9782273013635,M : Travail du bois,H2204,Encadrement des industries de l'ameublement et du bois,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2204
acheteur / acheteuse d'espaces publicitaires,http://www.onisep.fr/http/redirection/metier/identifiant/10187,"Les métiers du marketing, de la publicité et de la vente",Parcours,2016,9782273012799,"U : Communication, médias",E1402,Élaboration de plan média,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1402
concepteur-rédacteur / conceptrice-rédactrice,http://www.onisep.fr/http/redirection/metier/identifiant/10184,Les métiers de l'information et de la communication,Parcours,2018,9782273013901,"U : Communication, médias",E1104,Conception de contenus multimédias,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104
directeur / directrice de la photographie,http://www.onisep.fr/http/redirection/metier/identifiant/10181,Les métiers du cinéma,Parcours,2018,9782273013871,"U : Communication, médias",L1505,Image cinématographique et télévisuelle,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1505
projectionniste,http://www.onisep.fr/http/redirection/metier/identifiant/10180,Les métiers du cinéma,Parcours,2018,9782273013871,"U : Communication, médias",E1204,Projection cinéma,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1204
technicien / technicienne de fabrication de mobilier et de menuiserie,http://www.onisep.fr/http/redirection/metier/identifiant/10002,,Fiches métiers / onisep.fr,,,M : Travail du bois,H2209,Intervention technique en ameublement et bois,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2209
technicien / technicienne d'exploitation du réseau gaz,http://www.onisep.fr/http/redirection/metier/identifiant/10323,,Fiches métiers / onisep.fr,,,"H : Electricité, énergie, électronique",H2701,Pilotage d'installation énergétique et pétrochimique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2701
ingénieur / ingénieure électricien / électricienne,http://www.onisep.fr/http/redirection/metier/identifiant/100246,Les métiers de l'énergie,Parcours,2016,9782273012812,"H : Electricité, énergie, électronique",H2502,Management et ingénierie de production,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502
responsable d'ordonnancement,http://www.onisep.fr/http/redirection/metier/identifiant/10320,Les métiers du transport et de la logistique,Parcours,2016,9782273012836,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",H1401,Management et ingénierie gestion industrielle et logistique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1401
matelot à la pêche,http://www.onisep.fr/http/redirection/metier/identifiant/10317,Les métiers de marins,Zoom,2017,9782273013611,"B : Pêche, Mer",N3102,Equipage de la navigation maritime,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N3102
commissaire-priseur / priseuse,http://www.onisep.fr/http/redirection/metier/identifiant/10307,Les métiers du droit,Parcours,2016,9782273012843,"V : Arts, spectacle, audiovisuel",K1901,Aide et médiation judiciaire,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1901
huissier / huissière de justice,http://www.onisep.fr/http/redirection/metier/identifiant/10303,Les métiers du droit,Parcours,2016,9782273012843,"W : Droit, enseignement, recherche en sciences humaines",K1901,Aide et médiation judiciaire,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1901
psychologue,http://www.onisep.fr/http/redirection/metier/identifiant/10300,Les métiers auprès des enfants,Parcours,2015,9782273012294,"R : Santé, social, soins personnels",K1104,Psychologie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1104
zoologiste,http://www.onisep.fr/http/redirection/metier/identifiant/10279,Les métiers auprès des animaux,Parcours,2015,9782273012287,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",K2402,"Recherche en sciences de l'univers, de la matière et du vivant",http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2402
carreleur / carreleuse-mosaïste,http://www.onisep.fr/http/redirection/metier/identifiant/10032,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,C : Bâtiment,F1608,Pose de revêtements rigides,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1608
masseur / masseuse-kinésithérapeute,http://www.onisep.fr/http/redirection/metier/identifiant/10229,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1404,Kinésithérapie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1404
diététicien / diététicienne,http://www.onisep.fr/http/redirection/metier/identifiant/10228,Les métiers du goût et des saveurs,Parcours,2018,9782273013888,"R : Santé, social, soins personnels",J1402,Diététique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1402
pédicure-podologue,http://www.onisep.fr/http/redirection/metier/identifiant/10227,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1409,Pédicurie et podologie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1409
puériculteur / puéricultrice,http://www.onisep.fr/http/redirection/metier/identifiant/10225,Les métiers auprès des enfants,Parcours,2015,9782273012294,"R : Santé, social, soins personnels",J1507,Soins infirmiers spécialisés en puériculture,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1507
infirmier / infirmière,http://www.onisep.fr/http/redirection/metier/identifiant/10223,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1506,Soins infirmiers généralistes,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1506
sage-femme,http://www.onisep.fr/http/redirection/metier/identifiant/10221,Les métiers du médical,Parcours,2018,9782273013857,"R : Santé, social, soins personnels",J1104,Suivi de la grossesse et de l'accouchement,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1104
médecin généraliste,http://www.onisep.fr/http/redirection/metier/identifiant/10216,Les métiers du médical,Parcours,2018,9782273013857,"R : Santé, social, soins personnels",J1102,Médecine généraliste et spécialisée,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1102
enseignant spécialisé / enseignante spécialisée,http://www.onisep.fr/http/redirection/metier/identifiant/10213,"Les métiers de l'enseignement, de l'éducation et de la formation",Parcours,2013,9782273011464,"W : Droit, enseignement, recherche en sciences humaines",K2109,Enseignement technique et professionnel,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2109
officier marinier / officière marinière,http://www.onisep.fr/http/redirection/metier/identifiant/10273,Les métiers de la défense et de la sécurité publique,Parcours,2016,9782273012362,"T : Environnement, nettoyage, sécurité",M1808,Information géographique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1808
gendarme,http://www.onisep.fr/http/redirection/metier/identifiant/10267,Les métiers de la défense et de la sécurité publique,Parcours,2016,9782273012362,"T : Environnement, nettoyage, sécurité",K1706,Sécurité publique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1706
