libellé métier,lien site onisep.fr,nom publication,collection,année,gencod,GFE,code ROME,libellé ROME,lien ROME
ingénieur / ingénieure en construction navale,http://www.onisep.fr/http/redirection/metier/identifiant/10390,,Fiches métiers / onisep.fr,,,F : Mécanique,,,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=
chaudronnier / chaudronnière,http://www.onisep.fr/http/redirection/metier/identifiant/100256,Les métiers de l'industrie aéronautique et spatiale,Parcours,2017,9782273013284,E : Travail des métaux,H2902,Chaudronnerie - tôlerie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2902
paysagiste,http://www.onisep.fr/http/redirection/metier/identifiant/10126,Les métiers du paysage,Zoom,2018,9782273014397,"T : Environnement, nettoyage, sécurité",A1303,Ingénierie en agriculture et environnement naturel,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1303
ingénieur forestier / ingénieure forestière,http://www.onisep.fr/http/redirection/metier/identifiant/10124,Les métiers de la forêt et du bois,Zoom,2017,9782273013635,A : Agriculture,A1303,Ingénierie en agriculture et environnement naturel,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1303
professeur des écoles / professeure des écoles,http://www.onisep.fr/http/redirection/metier/identifiant/10210,Les métiers auprès des enfants,Parcours,2015,9782273012294,"W : Droit, enseignement, recherche en sciences humaines",K2106,Enseignement des écoles,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2106
technicien / technicienne de l'intervention sociale et familiale,http://www.onisep.fr/http/redirection/metier/identifiant/10248,Les métiers du social,Parcours,2015,9782273012300,"R : Santé, social, soins personnels",K1305,Intervention sociale et familiale,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1305
conseiller / conseillère en économie sociale et familiale,http://www.onisep.fr/http/redirection/metier/identifiant/10247,Les métiers du social,Parcours,2015,9782273012300,"R : Santé, social, soins personnels",K1201,Action sociale,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1201
accompagnant éducatif et social / accompagnante éducative et sociale,http://www.onisep.fr/http/redirection/metier/identifiant/10252,Les métiers des associations de l'aide et du soin à domicile,Zoom,2017,9782273013628,"R : Santé, social, soins personnels",K1301,Accompagnement médicosocial,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1301
prothésiste dentaire,http://www.onisep.fr/http/redirection/metier/identifiant/10242,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1410,Prothèses dentaires,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1410
designer graphique,http://www.onisep.fr/http/redirection/metier/identifiant/10164,Les métiers du jeu vidéo,Parcours,2015,9782273012324,"N : Techniques graphiques, impression",E1205,Réalisation de contenus multimédias,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205
