Département,zipcode,Commune,ETABLISSEMENT,Code UAI,coordinates
Haute-Garonne,31200,Toulouse,Toulouse-Lautrec,0311112R,"{""type"":""Point"",""coordinates"":[1.4409632,43.6293563]}"
Loire,42000,Saint-Étienne,Marc Seguin,0421451Z,"{""type"":""Point"",""coordinates"":[4.4095017,45.4649085]}"
Loire,42000,Saint-Étienne,Puits de la Loire,0420916T,"{""type"":""Point"",""coordinates"":[4.3729628,45.4449555]}"
Maine-et-Loire,49300,Cholet,Joachim du Bellay,0491675E,"{""type"":""Point"",""coordinates"":[-0.8857054,47.0404619]}"
Moselle,57500,Saint-Avold,La Carrière,0572488V,"{""type"":""Point"",""coordinates"":[6.7196519,49.1011903]}"
Nord (département français)|Nord,59460,Jeumont,Charles de Gaulle,0594418G,"{""type"":""Point"",""coordinates"":[4.0849623,50.3006517]}"
Pas-de-Calais,62470,Calonne-Ricouart,Fréderic Joliot-Curie,0620068M,"{""type"":""Point"",""coordinates"":[2.4789762,50.4851268]}"
Pas-de-Calais,62820,Libercourt,Jean de Saint-Aubert,0622239X,"{""type"":""Point"",""coordinates"":[3.0158594,50.4814702]}"
Rhône,69200,Vénissieux,Honoré de Balzac,0691480J,"{""type"":""Point"",""coordinates"":[4.861262,45.7256251]}"
Paris,75019,Paris,Édouard Pailleron,0751707Y,"{""type"":""Point"",""coordinates"":[2.3799682,48.8816145]}"
Paris,75020,Paris,Colette Besson,0755241P,"{""type"":""Point"",""coordinates"":[2.384919,48.86642]}"
Paris,75020,Paris,Jean-Baptiste Clément,0750478M,"{""type"":""Point"",""coordinates"":[2.3894307,48.8699186]}"
Seine-Maritime,76800,Saint-Étienne-du-Rouvray,Robespierre,0762132E,"{""type"":""Point"",""coordinates"":[1.06963,49.3966804]}"
Seine-et-Marne,77100,Meaux,Albert Camus,0771172F,"{""type"":""Point"",""coordinates"":[2.9082075,48.94781]}"
Guyane,97320,Saint Laurent Du Maroni,Albert Londres,9730248G,"{""type"":""Point"",""coordinates"":[-54.0224,5.47607]}"
Martinique,97200,Fort-de-France Bay,Aimé Césaire,9720007A,"{""type"":""Point"",""coordinates"":[-61.0715,14.6116]}"
Martinique,97200,Fort-de-France,Cassien Sainte-Claire,9720682J,"{""type"":""Point"",""coordinates"":[-61.0412,14.6389]}"
Eure,27300,Bernay,Marie Curie,0271096V,"{""type"":""Point"",""coordinates"":[0.5886001,49.0926491]}"
Martinique,97200,Fort-de-France Bay,Dillon 2,9720708M,"{""type"":""Point"",""coordinates"":[-61.043,14.6083]}"
Guyane,97320,Saint Laurent Du Maroni,Léodate Volmar,9730348R,"{""type"":""Point"",""coordinates"":[-54.0361,5.48693]}"
Mayotte,97600,Mamoudzou,Nelson Mandela,9760009F,"{""type"":""Point"",""coordinates"":[45.1902,-12.7685]}"
Nord (département français)|Nord,59163,Condé-sur-l'Escaut,Josquin des Prés,0590050J,"{""type"":""Point"",""coordinates"":[3.5848572,50.4583761]}"
Côte-d'Or,21000,Dijon,Carnot,0211525U,"{""type"":""Point"",""coordinates"":[5.04892,47.3242]}"
Seine-Saint-Denis,93240,Stains,Pablo Neruda,0931226C,"{""type"":""Point"",""coordinates"":[2.39208,48.9621]}"
Territoire de Belfort,90000,Belfort,Châteaudun,0900017E,"{""type"":""Point"",""coordinates"":[6.85109,47.6457427]}"
Pas-de-Calais,62700,Bruay-la-Buissière,Albert Camus,0620198D,"{""type"":""Point"",""coordinates"":[2.54765,50.4812]}"
Seine-Saint-Denis,93350,Le Bourget,Didier Daurat,0931187K,"{""type"":""Point"",""coordinates"":[2.4176383,48.9345684]}"
La Réunion,97410,Saint Pierre,Paul Hermann,9740574F,"{""type"":""Point"",""coordinates"":[55.4699,-21.3363]}"
Val-d'Oise,95800,Cergy,Gérard Philipe,0951617S,"{""type"":""Point"",""coordinates"":[2.04356,49.0467]}"
Charente-Maritime,17000,La Rochelle,Samuel de Missy,0170088D,"{""type"":""Point"",""coordinates"":[-1.17256,46.1614]}"
Yvelines,78310,Maurepas,Louis Pergaud,0780419G,"{""type"":""Point"",""coordinates"":[1.94246,48.7625]}"
Yvelines,78370,Plaisir,Guillaume Apollinaire,0780761D,"{""type"":""Point"",""coordinates"":[1.94189,48.8199]}"
Mayotte,97630,Tsamboro,de Mtsamobro,9760230W,"{""type"":""Point"",""coordinates"":[45.0793,-12.684]}"
Eure,27400,Louviers,Le Hamelet,0271336F,"{""type"":""Point"",""coordinates"":[1.18958,49.2013]}"
Guadeloupe,97100,Basse-Terre,Mont des Accords,9710022X,"{""type"":""Point"",""coordinates"":[-61.7327,15.9969]}"
Vosges,88000,Épinal,Antoine de Saint-Exupéry,0880149J,"{""type"":""Point"",""coordinates"":[6.4565194,48.1864052]}"
Deux-Sèvres,79100,Thouars,Jean Rostand,0791002K,"{""type"":""Point"",""coordinates"":[-0.193914,46.9767]}"
Yonne,89000,Perrigny,[Fermé] - Collège Bienvenu-Martin,0890056C,"{""type"":""Point"",""coordinates"":[3.5500056,47.8017659]}"
Seine-Saint-Denis,93200,Saint-Denis,Elsa Triolet,0931230G,"{""type"":""Point"",""coordinates"":[2.3484028,48.9393188]}"
Seine-Saint-Denis,93200,Saint-Denis,Colonel Fabien,0931229F,"{""type"":""Point"",""coordinates"":[2.352359,48.9435682]}"
Gard,30800,Saint-Gilles,Jean Vilar,0300037C,"{""type"":""Point"",""coordinates"":[4.4341503,43.6855648]}"
Moselle,57140,Woippy,Jules Ferry,0572579U,"{""type"":""Point"",""coordinates"":[6.1682776,49.1490238]}"
Seine-Saint-Denis,93240,Stains,Barbara,0931147S,"{""type"":""Point"",""coordinates"":[2.3701824,48.9512151]}"
Rhône,69600,Oullins,La Clavelière,0691673U,"{""type"":""Point"",""coordinates"":[4.8164565,45.7100974]}"
Var,83600,Fréjus,André Léotard,0830834F,"{""type"":""Point"",""coordinates"":[6.7567528,43.4378904]}"
Seine-Saint-Denis,93600,Aulnay-sous-Bois,Christine de Pisan,0932310F,"{""type"":""Point"",""coordinates"":[2.4930865,48.9478629]}"
Guyane,97370,Maripasoula,Gran Man Difou,9730193X,"{""type"":""Point"",""coordinates"":[-54.0431,3.64041]}"
Landes,40280,Saint-Pierre-du-Mont,Lubet Barbon,0400103V,"{""type"":""Point"",""coordinates"":[-0.5095982,43.8784768]}"
Yvelines,78955,Carrières-sous-Poissy,Flora Tristan,0780032L,"{""type"":""Point"",""coordinates"":[2.0208537,48.9380801]}"
Calvados,14100,Lisieux,Pierre Simon de Laplace,0141315D,"{""type"":""Point"",""coordinates"":[0.2478131,49.1443016]}"
Seine-Saint-Denis,93500,Pantin,Irène et Frédéric Joliot-Curie,0931217T,"{""type"":""Point"",""coordinates"":[2.4053923,48.8914809]}"
Martinique,97230,Sainte-Marie,Emmanuel Saldes,9720513A,"{""type"":""Point"",""coordinates"":[-61.0384,14.7628]}"
Bouches-du-Rhône,13015,Marseille,Elsa Triolet,0131887F,"{""type"":""Point"",""coordinates"":[5.3550138,43.3714554]}"
Somme,80200,Péronne,Béranger,0801537L,"{""type"":""Point"",""coordinates"":[2.9250078,49.9310592]}"
Somme,80620,Domart-en-Ponthieu,du Val de Nièvre,0801485E,"{""type"":""Point"",""coordinates"":[2.1218185,50.0765118]}"
Guyane,97354,Remire-Montjoly,Réeberg Néron,9730370P,"{""type"":""Point"",""coordinates"":[-52.2761,4.88606]}"
Alpes-Maritimes,06700,Saint-Laurent-du-Var,Saint-Exupéry,0061738G,"{""type"":""Point"",""coordinates"":[7.185624,43.665788]}"
Seine-et-Marne,77200,Torcy,Arche Guédon,0771656G,"{""type"":""Point"",""coordinates"":[2.633582,48.850275]}"
Nord (département français)|Nord,59100,Roubaix,Jean-Baptiste Lebas,0590190L,"{""type"":""Point"",""coordinates"":[3.1827386,50.680996]}"
Nord (département français)|Nord,59640,Dunkerque,Lucie Aubrac,0593664M,"{""type"":""Point"",""coordinates"":[2.35653,51.022]}"
Seine-Saint-Denis,93300,Aubervilliers,Jean Moulin,0931184G,"{""type"":""Point"",""coordinates"":[2.390673,48.907886]}"
Nord (département français)|Nord,59650,Villeneuve-d'Ascq,Simone de Beauvoir,0595328W,"{""type"":""Point"",""coordinates"":[3.1307021,50.6287055]}"
Doubs,25000,Besançon,Voltaire,0251127P,"{""type"":""Point"",""coordinates"":[5.9602,47.221]}"
Rhône,69008,Lyon,Henri Longchambon,0692340U,"{""type"":""Point"",""coordinates"":[4.8737252,45.7269294]}"
Loire-Atlantique,44800,Saint-Herblain,Ernest Renan,0440311Z,"{""type"":""Point"",""coordinates"":[-1.6145715,47.2141829]}"
Alpes-Maritimes,06220,Vallauris,Pablo Picasso,0061211J,"{""type"":""Point"",""coordinates"":[7.0573871,43.5798226]}"
Somme,80012,Amiens,Rosa Parks,0801264P,"{""type"":""Point"",""coordinates"":[2.2521008,49.9180338]}"
Moselle,57800,Freyming-Merlebach,Claudie Haigneré,0570326V,"{""type"":""Point"",""coordinates"":[6.817018,49.1546608]}"
Val-de-Marne,94400,Vitry-sur-Seine,Adolphe Chérioux,0940042K,"{""type"":""Point"",""coordinates"":[2.3694779,48.7789944]}"
Val-de-Marne,94507,Champigny-sur-Marne,Willy Ronis,0941015T,"{""type"":""Point"",""coordinates"":[2.5154278,48.8115578]}"
