Département,zipcode,Commune,ETABLISSEMENT,Code UAI,coordinates
Guyane,97317,Apatou,Ma Aiye,9730337D,"{""type"":""Point"",""coordinates"":[-54.3438,5.15518]}"
Guyane,97310,Kourou,Victor Schœlcher,9730237V,"{""type"":""Point"",""coordinates"":[-52.6555,5.15512]}"
Mayotte,97670,Ouangani,de Ouangani,9760371Z,"{""type"":""Point"",""coordinates"":[45.1348,-12.8402]}"
Seine-Saint-Denis,93380,Pierrefitte-sur-Seine,Pablo Neruda,0931224A,"{""type"":""Point"",""coordinates"":[2.3675126,48.9683538]}"
Val-de-Marne,94430,Chennevières-sur-Marne,Nicolas Boileau,0940787V,"{""type"":""Point"",""coordinates"":[2.5547478,48.8052003]}"
Seine-Saint-Denis,93200,Saint-Denis,Pierre de Geyter,0931231H,"{""type"":""Point"",""coordinates"":[2.3519379,48.933115]}"
Paris,75018,Paris,Marx Dormoy,0752196E,"{""type"":""Point"",""coordinates"":[2.3597135,48.8885133]}"
Paris,75020,Paris,Robert Doisneau,0754355B,"{""type"":""Point"",""coordinates"":[2.3880917,48.8671169]}"
Paris,75019,Paris,Suzanne Lacore,0755747P,"{""type"":""Point"",""coordinates"":[2.3788907,48.8984842]}"
Seine-Saint-Denis,93600,Aulnay-sous-Bois,Victor Hugo,0930891N,"{""type"":""Point"",""coordinates"":[2.4952559,48.9582281]}"
Seine-Saint-Denis,93800,Épinay-sur-Seine,Robespierre,0931145P,"{""type"":""Point"",""coordinates"":[2.3102316,48.9588763]}"
Seine-Saint-Denis,93150,Le Blanc-Mesnil,Descartes,0931433C,"{""type"":""Point"",""coordinates"":[2.4436407,48.9496385]}"
Seine-Saint-Denis,93150,Le Blanc-Mesnil,Marcel Cachin,0931204D,"{""type"":""Point"",""coordinates"":[2.4663608,48.9242807]}"
Seine-Saint-Denis,93150,Le Blanc-Mesnil,Nelson Mandela,0930611J,"{""type"":""Point"",""coordinates"":[2.4606802,48.9478416]}"
Seine-Saint-Denis,93330,Neuilly-sur-Marne,Georges Braque,0931485J,"{""type"":""Point"",""coordinates"":[2.5380236,48.8674271]}"
Seine-Saint-Denis,93160,Noisy-le-Grand,Victor Hugo,0931978V,"{""type"":""Point"",""coordinates"":[2.5569193,48.8383181]}"
Seine-Saint-Denis,93380,Pierrefitte-sur-Seine,Gustave Courbet,0931223Z,"{""type"":""Point"",""coordinates"":[2.360795,48.950225]}"
Val-de-Marne,94380,Bonneuil-sur-Marne,Paul Éluard,0941095E,"{""type"":""Point"",""coordinates"":[2.4823547,48.7668565]}"
Seine-Maritime,76150,Maromme,Alain,0760075U,"{""type"":""Point"",""coordinates"":[1.0395214,49.4780867]}"
Paris,75018,Paris,Georges Clemenceau,0750546L,"{""type"":""Point"",""coordinates"":[2.35187,48.892]}"
Seine-Saint-Denis,93200,Saint-Denis,Henri Barbusse,0931232J,"{""type"":""Point"",""coordinates"":[2.3774302,48.939563]}"
Seine-Saint-Denis,93400,Saint-Ouen,Jean Jaurès,0931143M,"{""type"":""Point"",""coordinates"":[2.335119,48.9113]}"
Seine-Saint-Denis,93400,Saint-Ouen,Joséphine Baker,0932261C,"{""type"":""Point"",""coordinates"":[2.3374229,48.9062423]}"
Seine-Saint-Denis,93400,Saint-Ouen,Michelet,0931144N,"{""type"":""Point"",""coordinates"":[2.345742,48.904373]}"
Seine-Saint-Denis,93290,Tremblay-en-France,Pierre Ronsard,0931149U,"{""type"":""Point"",""coordinates"":[2.5670306,48.958525]}"
Val-de-Marne,94140,Alfortville,Léon Blum,0941022A,"{""type"":""Point"",""coordinates"":[2.4253404,48.7938663]}"
Val-de-Marne,94140,Alfortville,Paul Langevin,0941021Z,"{""type"":""Point"",""coordinates"":[2.4275592,48.7878746]}"
Val-de-Marne,94470,Boissy-Saint-Léger,Blaise Cendrars,0941478W,"{""type"":""Point"",""coordinates"":[2.498319,48.757786]}"
Val-de-Marne,94500,Champigny-sur-Marne,Lucie Aubrac,0940786U,"{""type"":""Point"",""coordinates"":[2.5081766,48.8190827]}"
Val-de-Marne,94550,Chevilly Larue,Jean Moulin,0940581W,"{""type"":""Point"",""coordinates"":[2.3551351,48.7745253]}"
Paris,75019,Paris,Mozart,0750484U,"{""type"":""Point"",""coordinates"":[2.379637,48.8897209]}"
Seine-Saint-Denis,93800,Épinay-sur-Seine,Évariste Galois,0931207G,"{""type"":""Point"",""coordinates"":[2.3204346,48.9509018]}"
Essonne,91130,Ris-Orangis,Jean Lurçat,0910049J,"{""type"":""Point"",""coordinates"":[2.4102062,48.6391018]}"
Essonne,91700,Sainte-Geneviève-des-Bois,Jean Macé,0910678T,"{""type"":""Point"",""coordinates"":[2.340372,48.6406249]}"
Essonne,91860,Épinay-sous-Sénart,La Vallée,0911397Z,"{""type"":""Point"",""coordinates"":[2.5254863,48.6996967]}"
Val-de-Marne,94600,Choisy-le-Roi,Émile Zola,0941040V,"{""type"":""Point"",""coordinates"":[2.4057228,48.7681617]}"
Val-de-Marne,94600,Choisy-le-Roi,Henri Matisse,0941231C,"{""type"":""Point"",""coordinates"":[2.4096285,48.7598335]}"
Val-de-Marne,94120,Fontenay-sous-Bois,Jean Macé,0941296Y,"{""type"":""Point"",""coordinates"":[2.4811422,48.857054]}"
Val-de-Marne,94200,Ivry-sur-Seine,Georges Politzer,0941025D,"{""type"":""Point"",""coordinates"":[2.392957,48.8082706]}"
Val-de-Marne,94200,Ivry-sur-Seine,Henri Wallon,0941781A,"{""type"":""Point"",""coordinates"":[2.3808481,48.8149349]}"
Val-de-Marne,94200,Ivry-sur-Seine,Molière,0941026E,"{""type"":""Point"",""coordinates"":[2.3926601,48.8167451]}"
Val-de-Marne,94240,L'Haÿ-les-Roses,Eugène Chevreul,0940551N,"{""type"":""Point"",""coordinates"":[2.3399993,48.7751902]}"
Val-de-Marne,94450,Limeil-Brévannes,Janusz Korczak,0941603G,"{""type"":""Point"",""coordinates"":[2.5069547,48.7424887]}"
Val-de-Marne,94700,Maisons-Alfort,Jules Ferry,0941024C,"{""type"":""Point"",""coordinates"":[2.4343191,48.7916634]}"
Val-de-Marne,94290,Villeneuve-le-Roi,Georges Brassens,0941602F,"{""type"":""Point"",""coordinates"":[2.4277997,48.7304509]}"
Val-de-Marne,94190,Villeneuve-Saint-Georges,Pierre Brossolette,0940791Z,"{""type"":""Point"",""coordinates"":[2.4626166,48.7330708]}"
Val-de-Marne,94190,Villeneuve-Saint-Georges,Roland Garros,0940749D,"{""type"":""Point"",""coordinates"":[2.4503683,48.7524569]}"
