NUMERO_UAI,Région,Département,Code_commune_Insee,Libellé Commune,Dénomination établissement,Patromyne établissement,Adresse_établissement,Code_postal,Type_établissement,Rep+,Rep,DISTANCE_QPV le plus proche,QPV,Qualité
0160113L,Nouvelle Aquitaine,16,16015,ANGOULEME,COLLEGE,MICHELLE PALLET,12 RUE PIERRE AUMAITRE,16008,COLLEGE,Oui,Non,0,QP016001,BONNE
0160864C,Nouvelle Aquitaine,16,16102,COGNAC,COLLEGE,CLAUDE BOUCHER,28 BOULEVARD DES BORDERIES,16100,COLLEGE,Non,Oui,0,QP016006,BONNE
0160100X,Nouvelle Aquitaine,16,16374,SOYAUX,COLLEGE,ROMAIN ROLLAND,8 RUE ROMAIN ROLLAND,16800,COLLEGE,Oui,Non,0,QP016005,BONNE
0170077S,Nouvelle Aquitaine,17,17300,LA ROCHELLE,COLLEGE,PIERRE MENDES FRANCE,AVENUE DE LISBONNE,17028,COLLEGE,Oui,Non,"3,196564376",QP017001,MOYENNE
0171117X,Nouvelle Aquitaine,17,17300,LA ROCHELLE,COLLEGE,FABRE D EGLANTINE,2 RUE FABRE D EGLANTINE,17028,COLLEGE,Non,Oui,"4,453179628",QP017002,MOYENNE
0180766K,Centre-Val de Loire,18,18033,BOURGES,COLLEGE,LE GRAND MEAULNES,30 RUE STEPHANE MALLARME,18000,COLLEGE,Oui,Non,0,QP018001,BONNE
0180593X,Centre-Val de Loire,18,18033,BOURGES,COLLEGE,VICTOR HUGO,91 RUE LOUISE MICHEL,18000,COLLEGE,Non,Oui,"48,5368112",QP018001,BONNE
0190635M,Nouvelle Aquitaine,19,19031,BRIVE LA GAILLARDE,COLLEGE,JEAN MOULIN,3 RUE FRANCOIS MAURIAC,19316,COLLEGE,Oui,Non,"56,78378335",QP019002,BONNE
7200012A,Corse,20,2B033,BASTIA,COLLEGE,SAINT-JOSEPH,RUE CESAR VEZZANI,20600,COLLEGE,Oui,Non,0,QP02B002,BONNE
0211225T,Bourgogne-Franche-Comté,21,21166,CHENOVE,COLLEGE,LE CHAPITRE,1 BOULEVARD MAL DE LATTRE DE TAS,21304,COLLEGE,Oui,Non,"3,766814176",QP021002,BONNE
0211357L,Bourgogne-Franche-Comté,21,21231,DIJON,COLLEGE,JEAN PHILIPPE RAMEAU,70 AVENUE DU LAC,21000,COLLEGE,Non,Oui,"86,37428333",QP021003,BONNE
0251080N,Bourgogne-Franche-Comté,25,25056,BESANCON,COLLEGE,DIDEROT,3 RUE DE COLOGNE,25000,COLLEGE,Oui,Non,0,QP025004,BONNE
0251209D,Bourgogne-Franche-Comté,25,25057,BETHONCOURT,COLLEGE,ANATOLE FRANCE,37 RUE DE CHAMPVALLON,25200,COLLEGE,Oui,Non,"103,7382299",QP025008,BONNE
0251395F,Bourgogne-Franche-Comté,25,25388,MONTBELIARD,COLLEGE,LOU BLAZER,6 RUE H+L+NE BOUCHER,25200,COLLEGE,Oui,Non,"48,88427535",QP025011,MOYENNE
0251397H,Bourgogne-Franche-Comté,25,25539,SELONCOURT,COLLEGE,LES HAUTES VIGNES,55 RUE DES VIGNOTTES,25230,COLLEGE,Non,Oui,"33,01620862",QP025007,BONNE
0250056A,Bourgogne-Franche-Comté,25,25547,SOCHAUX,COLLEGE,JOUFFROY D'ABBANS,9 RUE DU COLLEGE,25602,COLLEGE,Non,Oui,"193,475149",QP025012,MOYENNE
0261086P,Auvergne-Rhône-Alpes,26,26198,MONTELIMAR,COLLEGE,EUROPA,6 CHEMIN DES PEUPLIERS,26200,COLLEGE,Non,Oui,"265,9089073",QP026002,BONNE
0261090U,Auvergne-Rhône-Alpes,26,26235,PIERRELATTE,COLLEGE,GUSTAVE JAUME,AVENUE HENRI BECQUEREL,26702,COLLEGE,Oui,Non,"51,41717503",QP026010,BONNE
0261091V,Auvergne-Rhône-Alpes,26,26281,ROMANS SUR ISERE,COLLEGE,ALBERT TRIBOULET,61 AVENUE GAMBETTA,26102,COLLEGE,Non,Oui,"132,1829122",QP026001,BONNE
0260049M,Auvergne-Rhône-Alpes,26,26362,VALENCE,COLLEGE,JEAN ZAY,ALL+E RAYMOND MIAS,26000,COLLEGE,Non,Oui,"45,15457953",QP026006,BONNE
0260978X,Auvergne-Rhône-Alpes,26,26362,VALENCE,COLLEGE,MARCEL PAGNOL,RUE HENRI BECQUEREL,26000,COLLEGE,Non,Oui,"137,9261902",QP026007,BONNE
0271237Y,Normandie,27,27229,EVREUX,COLLEGE,PABLO NERUDA,5 RUE DE RUSSELSHEIM,27025,COLLEGE,Oui,Non,0,QP027003,BONNE
0271104D,Normandie,27,27229,EVREUX,COLLEGE,HENRI DUNANT,21 RUE HENRI DUNANT,27000,COLLEGE,Non,Oui,0,QP027004,MOYENNE
0271095U,Normandie,27,27229,EVREUX,COLLEGE,GEORGES POLITZER,3 RUE GEORGES POLITZER,27025,COLLEGE,Non,Oui,"197,9636719",QP027003,MOYENNE
0271289E,Normandie,27,27681,VERNON,COLLEGE,CERVANTES,RUE EDITH BLANCHET,27204,COLLEGE,Non,Oui,"196,1791487",QP027002,MOYENNE
0271286B,Normandie,27,27701,VAL DE REUIL,COLLEGE,ALPHONSE ALLAIS,VOIE DE LA PALESTRE,27100,COLLEGE,Oui,Non,0,QP027008,MOYENNE
