NUMERO_UAI,Région,Département,Code_commune_Insee,Libellé Commune,Dénomination établissement,Patromyne établissement,Adresse_établissement,Code_postal,Type_établissement,Rep+,Rep,DISTANCE_QPV le plus proche,QPV,Qualité
0350895H,Bretagne,35,35238,RENNES,COLLEGE,ROSA PARKS,10 RUE DE GASCOGNE,35016,COLLEGE,Non,Oui,0,QP035002,MOYENNE
0350734H,Bretagne,35,35238,RENNES,COLLEGE,LES CHALAIS,25 AVENUE DU CANADA,35201,COLLEGE,Non,Oui,"3,779531271",QP035003,BONNE
0351851X,Bretagne,35,35238,RENNES,COLLEGE,LA BINQUENAIS,40 BOULEVARD OSCAR LEROUX,35203,COLLEGE,Non,Oui,"111,6900295",QP035005,BONNE
0350913C,Bretagne,35,35238,RENNES,COLLEGE,CLOTILDE VAUTIER,8 BIS RUE DE LA MOTTE BRULON,35704,COLLEGE,Non,Oui,"206,5250884",QP035004,MOYENNE
0350897K,Bretagne,35,35288,ST MALO,COLLEGE,ROBERT SURCOUF,19 RUE DE LA CHAUSSEE,35405,COLLEGE,Non,Oui,"71,71852678",QP035001,BONNE
0360541T,Centre-Val de Loire,36,36044,CHATEAUROUX,COLLEGE,ROSA PARKS,6 BIS RUE MICHELET,36019,COLLEGE,Oui,Non,"78,38817507",QP036002,BONNE
0360544W,Centre-Val de Loire,36,36088,ISSOUDUN,COLLEGE,DENIS DIDEROT,16 RUE DES BERNARDINES,36100,COLLEGE,Non,Oui,"83,58440606",QP036004,BONNE
0370791J,Centre-Val de Loire,37,37122,JOUE LES TOURS,COLLEGE,ARCHE DU LUDE,6 RUE MARIOTTE,37302,COLLEGE,Non,Oui,"276,0743153",QP037002,BONNE
0370071B,Centre-Val de Loire,37,37122,JOUE LES TOURS,COLLEGE,LA RABIERE,RUE ROLLAND DE LA OLLA,37305,COLLEGE,Oui,Non,"292,838657",QP037002,MOYENNE
0370766G,Centre-Val de Loire,37,37233,ST PIERRE DES CORPS,COLLEGE,JACQUES DECOUR,92 RUE DE L ERIDENCE,37703,COLLEGE,Oui,Non,0,QP037004,BONNE
0382044R,Auvergne-Rhône-Alpes,38,38151,ECHIROLLES,COLLEGE,PABLO PICASSO,4 RUE PABLO PICASSO,38130,COLLEGE,Non,Oui,"47,07175867",QP038001,BONNE
0382032C,Auvergne-Rhône-Alpes,38,38185,GRENOBLE,COLLEGE,LUCIE AUBRAC,68 GALERIE DE L' ARLEQUIN,38036,COLLEGE,Oui,Non,0,QP038007,MOYENNE
0381604M,Auvergne-Rhône-Alpes,38,38185,GRENOBLE,COLLEGE,VERCORS,59 BIS RUE LEON JOUHAUX,38100,COLLEGE,Non,Oui,0,QP038008,BONNE
0381780D,Auvergne-Rhône-Alpes,38,38185,GRENOBLE,COLLEGE,OLYMPIQUE,20 AVENUE MARIE REYNOARD,38035,COLLEGE,Non,Oui,"28,59457295",QP038007,BONNE
0380013H,Auvergne-Rhône-Alpes,38,38317,LE PONT DE CLAIX,COLLEGE,MOUCHEROTTE,4 AVENUE VICTOR HUGO,38800,COLLEGE,Non,Oui,0,QP038010,BONNE
0380050Y,Auvergne-Rhône-Alpes,38,38344,ROUSSILLON,COLLEGE,DE L'EDIT,24 AVENUE DU LYCEE,38551,COLLEGE,Non,Oui,"252,8970346",QP038019,BONNE
0381907S,Auvergne-Rhône-Alpes,38,38544,VIENNE,COLLEGE,FRANCOIS PONSARD,1 PLACE ANDRE RIVOIRE,38200,COLLEGE,Non,Oui,"174,8279302",QP038024,BONNE
0382104F,Auvergne-Rhône-Alpes,38,38553,VILLEFONTAINE,COLLEGE,LOUIS ARAGON,IMPASSE PAUL BERT,38090,COLLEGE,Non,Oui,"79,57696325",QP038016,BONNE
0390883Y,Bourgogne-Franche-Comté,39,39198,DOLE,COLLEGE,MARYSE BASTIE,134 AVENUE LEON JOUHAUX,39107,COLLEGE,Non,Oui,"107,7666899",QP039001,BONNE
0400648M,Nouvelle Aquitaine,40,40192,MONT DE MARSAN,COLLEGE,VICTOR DURUY,AVENUE NONERES,40006,COLLEGE,Non,Oui,"131,2826344",QP040004,MOYENNE
0410003F,Centre-Val de Loire,41,41018,BLOIS,COLLEGE,BLOIS-BEGON,1 RUE DE TOURVILLE,41000,COLLEGE,Oui,Non,0,QP041001,BONNE
0410952M,Centre-Val de Loire,41,41018,BLOIS,COLLEGE,FRANCOIS RABELAIS,2 RUE RABELAIS,41008,COLLEGE,Oui,Non,0,QP041001,BONNE
0410793P,Centre-Val de Loire,41,41194,ROMORANTIN LANTHENAY,COLLEGE,LEONARD DE VINCI,RUE JULES GUESDE,41200,COLLEGE,Non,Oui,"174,7470282",QP041003,BONNE
0421689H,Auvergne-Rhône-Alpes,42,42183,LA RICAMARIE,COLLEGE,JULES VALLES,7 RUE ROBESPIERRE,42150,COLLEGE,Oui,Non,"228,6643578",QP042006,MOYENNE
0421176A,Auvergne-Rhône-Alpes,42,42218,ST ETIENNE,COLLEGE,JULES VALLES,3 RUE DU PUITS THIBAUD,42000,COLLEGE,Oui,Non,"3,8622",QP042014,MOYENNE
0421677V,Auvergne-Rhône-Alpes,42,42218,ST ETIENNE,COLLEGE,CLAUDE FAURIEL,24 TER RUE ROUGET DE LISLE,42000,COLLEGE,Non,Oui,"135,1759866",QP042014,MOYENNE
0421686E,Auvergne-Rhône-Alpes,42,42218,ST ETIENNE,COLLEGE,JEAN DASTE,68 RUE JEAN PAROT,42023,COLLEGE,Non,Oui,"150,8278341",QP042015,BONNE
0421451Z,Auvergne-Rhône-Alpes,42,42218,ST ETIENNE,COLLEGE,MARC SEGUIN,125 BOULEVARD ANTONIO VIVALDI,42007,COLLEGE,Oui,Non,"194,4025027",QP042013,MOYENNE
0421452A,Auvergne-Rhône-Alpes,42,42218,ST ETIENNE,COLLEGE,GAMBETTA,34 BIS RUE MICHELET,42003,COLLEGE,Non,Oui,"294,0510222",QP042012,MOYENNE
0440348P,Pays de la Loire,44,44036,CHATEAUBRIANT,COLLEGE,LA VILLE AUX ROSES,AVENUE DE L EGALITE,44146,COLLEGE,Non,Oui,"33,34020125",QP044004,BONNE
0440286X,Pays de la Loire,44,44109,NANTES,COLLEGE,CLAUDE DEBUSSY,1 RUE DU DOUBS,44107,COLLEGE,Oui,Non,0,QP044005,BONNE
0440309X,Pays de la Loire,44,44109,NANTES,COLLEGE,LE BREIL,91 BOULEVARD PIERRE DE COUBERTIN,44100,COLLEGE,Oui,Non,"4,619340427",QP044007,MOYENNE
0440284V,Pays de la Loire,44,44109,NANTES,COLLEGE,STENDHAL,88 RUE DES RENARDS,44322,COLLEGE,Oui,Non,"82,50146489",QP044008,BONNE
0440536U,Pays de la Loire,44,44109,NANTES,COLLEGE,SOPHIE GERMAIN,19 MAIL PABLO PICASSO,44000,COLLEGE,Oui,Non,"219,2372116",QP044013,BONNE
0441608J,Pays de la Loire,44,44109,NANTES,COLLEGE,LA DURANTIERE,17 RUE BAPTISTE MARCET,44100,COLLEGE,Non,Oui,"262,7879853",QP044005,BONNE
0440311Z,Pays de la Loire,44,44162,ST HERBLAIN,COLLEGE,ERNEST RENAN,10 RUE DE LA MAYENNE,44800,COLLEGE,Non,Oui,0,QP044005,BONNE
0441613P,Pays de la Loire,44,44184,ST NAZAIRE,COLLEGE,PIERRE NORANGE,66 RUE DE TREBALE,44600,COLLEGE,Oui,Non,"77,46842124",QP044001,BONNE
0450789N,Centre-Val de Loire,45,45208,MONTARGIS,COLLEGE,LE GRAND CLOS,8 RUE FLANDRES DUNKERQUE 1940,45200,COLLEGE,Non,Oui,0,QP045004,BONNE
0450936Y,Centre-Val de Loire,45,45234,ORLEANS,COLLEGE,JEAN ROSTAND,18 RUE DU NECOTIN,45030,COLLEGE,Oui,Non,0,QP045011,BONNE
0450939B,Centre-Val de Loire,45,45234,ORLEANS,COLLEGE,ALAIN FOURNIER,25 AVENUE DE LA BOLIERE,45100,COLLEGE,Non,Oui,"50,41546623",QP045010,BONNE
0451070U,Centre-Val de Loire,45,45234,ORLEANS,COLLEGE,MONTESQUIEU,1 PLACE ALBERT CAMUS,45064,COLLEGE,Non,Oui,"182,5091718",QP045010,BONNE
0451241E,Centre-Val de Loire,45,45285,ST JEAN DE LA RUELLE,COLLEGE,ANDRE MALRAUX,1 RUE FRANCOISE GIROUD,45145,COLLEGE,Oui,Non,"60,2963364",QP045014,BONNE
0450069F,Centre-Val de Loire,45,45285,ST JEAN DE LA RUELLE,COLLEGE,MAX JACOB,26 RUE MAURICE MILLET,45142,COLLEGE,Non,Oui,"265,3919375",QP045001,BONNE
