Département,zipcode,Commune,ETABLISSEMENT,Code UAI,coordinates
Ille-et-Vilaine,35400,Saint-Malo,Chateaubriand,0350044H,"{""type"":""Point"",""coordinates"":[-2.00601,48.6509]}"
Hautes-Pyrénées,65000,Tarbes,Voltaire,0650050B,"{""type"":""Point"",""coordinates"":[0.0818981,43.2204724]}"
Côte-d'Or,21000,Dijon,Henri Dunant,0210025N,"{""type"":""Point"",""coordinates"":[5.0145484,47.3030106]}"
Val-de-Marne,94550,Chevilly-Larue,Liberté,0940071S,"{""type"":""Point"",""coordinates"":[2.3485676,48.7711699]}"
Pas-de-Calais,62970,Courcelles-lès-Lens,Adulphe Delegorgue,0622943M,"{""type"":""Point"",""coordinates"":[3.0155509,50.4155046]}"
Isère,38090,Villefontaine,Louis Aragon,0382104F,"{""type"":""Point"",""coordinates"":[5.1488018,45.6186871]}"
Maine-et-Loire,49000,Angers,Claude Debussy,0491764B,"{""type"":""Point"",""coordinates"":[-0.515542,47.4892457]}"
Moselle,57200,Sarreguemines,Himmelsberg,0572021M,"{""type"":""Point"",""coordinates"":[7.05378,49.1085]}"
Haute-Vienne,87000,Limoges,Léon Blum,0870023C,"{""type"":""Point"",""coordinates"":[1.2845109,45.8239229]}"
Yvelines,78711,Mantes-la-Ville,La Vaucouleurs,0780569V,"{""type"":""Point"",""coordinates"":[1.715502,48.9635765]}"
Pas-de-Calais,62480,Le Portel,Jean Moulin,0622095R,"{""type"":""Point"",""coordinates"":[1.5803013,50.7048143]}"
Paris,75013,Paris,Camille Claudel,0752694W,"{""type"":""Point"",""coordinates"":[2.3656054,48.8209727]}"
Hautes-Pyrénées,65000,Tarbes,Massey,0650033H,"{""type"":""Point"",""coordinates"":[0.074023,43.2367]}"
Indre-et-Loire,37000,Tours,Jules Ferry,0370764E,"{""type"":""Point"",""coordinates"":[0.6824048,47.3763177]}"
Hérault,34200,Sète,Paul Valéry,0340115R,"{""type"":""Point"",""coordinates"":[3.6925459,43.4014216]}"
Yvelines,78280,Guyancourt,Paul Éluard,0780581H,"{""type"":""Point"",""coordinates"":[2.06436,48.774]}"
Somme,80100,Abbeville,Millevoye,0800002T,"{""type"":""Point"",""coordinates"":[1.84019,50.1047]}"
La Réunion,97470,Saint-Benoît,Guy Môquet,9741366S,"{""type"":""Point"",""coordinates"":[55.7098,-21.052]}"
La Réunion,97432,Saint-Pierre,Ravine des Cabris,9740027L,"{""type"":""Point"",""coordinates"":[55.4616,-21.2882]}"
Vaucluse,84000,Avignon,Anselme Mathieu,0840108L,"{""type"":""Point"",""coordinates"":[4.8166,43.9315]}"
Vaucluse,84000,Avignon,Frédéric Mistral,0840758T,"{""type"":""Point"",""coordinates"":[4.80207,43.9471]}"
Vaucluse,84000,Avignon,Gérard Philipe,0840970Y,"{""type"":""Point"",""coordinates"":[4.84565,43.9432]}"
Val-d'Oise,95300,Pontoise,Simone Veil,0950895G,"{""type"":""Point"",""coordinates"":[2.08324,49.0447]}"
Jura,39000,Lons-le-Saunier,Saint-Exupéry,0390907Z,"{""type"":""Point"",""coordinates"":[5.5618481,46.6741217]}"
Hérault,34080,Montpellier,Les Escholiers de la Mosson,0340996Y,"{""type"":""Point"",""coordinates"":[3.81921,43.6327]}"
Yvelines,78300,Poissy,Jean Jaurès,0783358B,"{""type"":""Point"",""coordinates"":[2.04187,48.9267]}"
Nord (département français)|Nord,59750,Feignies,Jean Zay,0594168K,"{""type"":""Point"",""coordinates"":[3.91736,50.2935]}"
Nord (département français)|Nord,59970,Fresnes-sur-Escaut,Félicien Joly,0593486U,"{""type"":""Point"",""coordinates"":[3.56999,50.4397]}"
Yvelines,78955,Carrières-sous-Poissy,Claude Monet,0781817B,"{""type"":""Point"",""coordinates"":[2.03559,48.9487]}"
Yvelines,78200,Mantes-la-Jolie,Paul Cézanne,0783254N,"{""type"":""Point"",""coordinates"":[1.680052,49.0024671]}"
Nord (département français)|Nord,59460,Jeumont,Eugène Thomas,0590109Y,"{""type"":""Point"",""coordinates"":[4.10535,50.2942]}"
Nord (département français)|Nord,59160,Lille,Jean Jaurès,0590131X,"{""type"":""Point"",""coordinates"":[3.01158,50.6415]}"
Nord (département français)|Nord,59160,Lille,Jean Zay,0593177H,"{""type"":""Point"",""coordinates"":[2.98688,50.65]}"
Yvelines,78990,Élancourt,l'Agiot,0780856G,"{""type"":""Point"",""coordinates"":[1.9563422,48.7652312]}"
Nièvre,58000,Nevers,Les Courlis,0580682B,"{""type"":""Point"",""coordinates"":[3.18981,46.9809425]}"
Gard,30000,Nîmes,Jean Rostand,0301284H,"{""type"":""Point"",""coordinates"":[4.3414,43.8536]}"
Bas-Rhin,67240,Bischwiller,[Fermé] - Saut du Lièvre II,0672237T,"{""type"":""Point"",""coordinates"":[7.85034,48.7783]}"
Hérault,34080,Montpellier,François Rabelais,0342131G,"{""type"":""Point"",""coordinates"":[3.8296,43.6339]}"
Hérault,34090,Montpellier,Jeu de Mail ,0340998A,"{""type"":""Point"",""coordinates"":[3.86413,43.6282]}"
Yvelines,78990,Élancourt,la Clé Saint-Pierre,0782114Z,"{""type"":""Point"",""coordinates"":[1.96909,48.793]}"
Yvelines,78520,Limay,Galilée,0782115A,"{""type"":""Point"",""coordinates"":[1.73316,49.0057]}"
Somme,80400,Ham,Victor Hugo,0800036E,"{""type"":""Point"",""coordinates"":[3.07752,49.749]}"
Loiret,45300,Pithiviers,Denis Poisson,0451244H,"{""type"":""Point"",""coordinates"":[2.24223,48.1671]}"
Eure,27000,Évreux,Paul Bert,0270020A,"{""type"":""Point"",""coordinates"":[1.14465,49.0269]}"
Eure,27000,Évreux,Jean Jaurès,0270019Z,"{""type"":""Point"",""coordinates"":[1.16033,49.024]}"
Charente-Maritime,17000,La Rochelle,Albert Camus,0170142M,"{""type"":""Point"",""coordinates"":[-1.14099,46.1447]}"
Indre,36000,Châteauroux,Rosa Parks,0360541T,"{""type"":""Point"",""coordinates"":[1.70645,46.8015]}"
Rhône,69330,Meyzieu,Évariste Gallois,0692335N,"{""type"":""Point"",""coordinates"":[4.98957,45.7759]}"
Rhône,69100,Villeurbanne,Jean Macé,0691478G,"{""type"":""Point"",""coordinates"":[4.88035,45.7751]}"
Seine-Saint-Denis,93150,Le Blanc-Mesnil,Jacqueline de Romilly,0932580Z,"{""type"":""Point"",""coordinates"":[2.4451849,48.9436078]}"
Yvelines,78190,Trappes,Le Village,0780514K,"{""type"":""Point"",""coordinates"":[1.99692,48.7789]}"
Vaucluse,84000,Avignon,Jean Brunet,0840051Z,"{""type"":""Point"",""coordinates"":[4.83493,43.9495]}"
Vaucluse,84000,Avignon,Joseph Roumanille,0840007B,"{""type"":""Point"",""coordinates"":[4.83521,43.927]}"
Eure,27500,Pont-Audemer,Pierre et Marie Curie,0270036T,"{""type"":""Point"",""coordinates"":[0.516528,49.3553]}"
Haute-Garonne,31100,Toulouse,Bellefontaine,0311235Z,"{""type"":""Point"",""coordinates"":[1.39879,43.5629795]}"
Haute-Garonne,31300,Toulouse,Clémence Isaure,0310037X,"{""type"":""Point"",""coordinates"":[1.43152,43.5965]}"
Bas-Rhin,67800,Bischheim,Lamartine,0671822S,"{""type"":""Point"",""coordinates"":[7.73853,48.6141]}"
Moselle,57600,Forbach,Pierre Adt,0572180K,"{""type"":""Point"",""coordinates"":[6.89284,49.1815]}"
